N1,N2,N3,N4,N5,N6,N7,Date
15,17,18,35,41,42,3,5/3/2021
2,19,22,29,36,43,5,4/29/2021
2,15,18,36,42,49,26,4/26/2021
3,17,22,32,38,48,41,4/22/2021
8,10,16,17,20,43,32,4/19/2021
10,14,23,25,35,46,39,4/15/2021
4,23,27,43,48,49,47,4/12/2021
7,8,9,14,28,35,4,4/8/2021
9,11,15,17,25,40,5,4/5/2021
10,11,15,21,29,44,26,4/1/2021
14,15,20,23,30,35,39,3/29/2021
4,16,17,20,22,44,38,3/25/2021
2,12,20,35,37,44,17,3/22/2021
2,5,12,24,25,29,3,3/18/2021
12,15,19,28,35,43,44,3/15/2021
12,19,26,41,46,47,35,3/11/2021
8,13,17,27,33,40,38,3/8/2021
11,12,20,28,30,38,27,3/4/2021
5,6,7,13,25,37,30,3/1/2021
21,24,40,42,44,48,1,2/26/2021
3,6,8,11,36,48,1,2/22/2021
1,4,6,15,40,44,37,2/18/2021
9,13,18,20,34,40,36,2/15/2021
10,23,25,28,46,49,36,2/11/2021
9,10,25,27,34,42,29,2/8/2021
8,9,11,24,26,47,34,2/5/2021
4,6,9,18,27,39,33,2/1/2021
6,16,25,32,35,37,22,1/28/2021
8,9,12,17,33,39,48,1/25/2021
8,11,15,17,19,35,45,1/21/2021
2,12,23,33,35,37,43,1/18/2021
12,21,23,25,32,44,42,1/14/2021
3,5,8,19,26,47,41,1/11/2021
1,7,9,12,32,36,17,1/7/2021
4,5,8,12,27,42,14,1/4/2021
5,8,13,16,35,47,2,1/1/2021
32,34,40,45,46,47,25,12/28/2020
5,11,19,21,22,37,26,12/24/2020
4,8,15,31,36,39,47,12/21/2020
5,8,27,33,35,41,30,12/17/2020
6,21,29,45,47,48,15,12/14/2020
10,17,22,23,27,33,34,12/10/2020
7,13,14,33,37,48,24,12/7/2020
1,7,8,11,36,40,31,12/3/2020
2,3,25,33,35,49,10,11/30/2020
2,5,8,27,35,48,29,11/26/2020
1,7,11,22,30,45,48,11/23/2020
3,12,22,23,34,42,49,11/19/2020
1,2,20,27,36,44,7,11/16/2020
9,11,14,22,26,35,20,11/12/2020
8,12,13,30,37,46,36,11/9/2020
3,19,25,33,40,44,37,11/5/2020
3,36,37,44,48,49,35,11/2/2020
10,12,27,37,39,46,13,10/29/2020
2,8,11,19,41,49,27,10/26/2020
11,25,28,30,34,36,24,10/22/2020
9,10,11,13,20,25,15,10/19/2020
14,27,28,31,46,48,7,10/15/2020
1,10,14,40,41,48,30,10/12/2020
2,3,7,12,21,34,41,10/8/2020
7,10,14,15,39,44,1,10/5/2020
7,10,11,21,6,48,13,10/1/2020
5,16,27,34,41,42,49,9/28/2020
4,31,36,40,45,48,26,9/24/2020
13,16,17,20,27,38,26,9/21/2020
1,3,9,19,36,39,5,9/17/2020
2,11,13,15,28,45,36,9/14/2020
15,21,27,36,39,43,45,9/10/2020
9,11,19,22,36,45,23,9/7/2020
4,16,27,32,44,47,9,9/3/2020
12,15,16,23,25,46,47,8/31/2020
2,10,13,32,41,43,24,8/27/2020
1,18,24,26,37,41,22,8/24/2020
6,15,19,26,30,48,41,8/20/2020
1,2,15,30,35,46,38,8/17/2020
5,9,29,41,42,43,28,8/13/2020
9,19,20,29,36,43,38,8/10/2020
10,28,35,39,41,43,44,8/6/2020
1,3,10,15,32,40,7,8/3/2020
18,24,34,38,43,48,8,7/30/2020
4,19,25,31,34,37,32,7/27/2020
4,12,13,20,35,36,18,7/23/2020
1,20,23,24,40,42,48,7/20/2020
5,18,27,28,29,37,21,7/16/2020
6,22,34,35,37,43,33,7/13/2020
8,10,12,16,21,48,41,7/9/2020
1,22,26,38,39,48,40,7/6/2020
3,20,36,38,43,48,16,7/2/2020
3,9,17,38,39,41,13,6/29/2020
23,37,42,43,47,49,34,6/25/2020
